feature,importance
cat__zip_code_10457,0.00034905727547339486
cat__contributing_factor_vehicle_2_Turning Improperly,0.00034901644868930116
cat__zip_code_11205,0.0003437664560817713
cat__zip_code_10460,0.00034251772285729553
cat__zip_code_11214,0.00034045230279359476
cat__zip_code_11413,0.00033835527221891785
cat__on_street_name_VAN WYCK EXPWY,0.0003379398020878566
cat__on_street_name_WEBSTER AVENUE                  ,0.00033521020825860135
cat__zip_code_11204,0.0003349817888554489
cat__on_street_name_W 138 ST,0.00033356619194587275
cat__off_street_name_BAINBRIDGE AVENUE,0.0003321617150219558
cat__on_street_name_EAST MOSHOLU PARKWAY SOUTH,0.00032912392180260193
cat__zip_code_11222,0.0003272995269716425
cat__zip_code_11219,0.0003268557363681314
cat__on_street_name_BUSHWICK AVENUE                 ,0.000324289546987752
cat__off_street_name_32 AVENUE,0.0003219339028970581
cat__on_street_name_AMSTERDAM AVENUE                ,0.0003213232294305854
cat__zip_code_11412,0.0003185055335073675
cat__zip_code_11370,0.0003180230699907148
cat__on_street_name_STATEN ISLAND EXPRESSWAY        ,0.0003159037860402411
cat__contributing_factor_vehicle_2_Backing Unsafely,0.0003147791448385044
cat__contributing_factor_vehicle_1_Obstruction/Debris,0.0003133656483452445
cat__on_street_name_NOSTRAND AVENUE                 ,0.00031213233209683155
cat__on_street_name_GOWANUS EXPY (BQE)              ,0.0003108274697337899
cat__zip_code_10037,0.0003104980071907526
cat__on_street_name_METROPOLITAN AVENUE             ,0.00031011114802796067
cat__contributing_factor_vehicle_1_Glare,0.00030858444852166505
cat__on_street_name_WHITE PLAINS ROAD               ,0.0003074726268860928
cat__on_street_name_ROGERS AVENUE                   ,0.00030096269829894986
cat__zip_code_11422,0.000298322578318021
cat__zip_code_11232,0.00029701470973186764
cat__zip_code_11369,0.0002962778843550403
cat__on_street_name_TRIBOROUGH BRIDGE               ,0.00029141702634670567
cat__zip_code_10459,0.00029075836383195774
cat__zip_code_10065,0.00028979796953322205
cat__on_street_name_CROSS BRONX EXPY,0.00028923859269196087
cat__zip_code_10454,0.00028732958534782567
cat__on_street_name_10 AVENUE                       ,0.0002755347381477955
cat__zip_code_11378,0.0002752774026208491
cat__on_street_name_JEROME AVENUE                   ,0.00027267853240338987
cat__on_street_name_NORTH CONDUIT AVENUE            ,0.00027038452951981865
cat__zip_code_11417,0.0002701636041468334
cat__on_street_name_HUTCHINSON RIVER PARKWAY        ,0.00026997236137714045
cat__zip_code_10453,0.000266823940130677
cat__off_street_name_BROADWAY                        ,0.0002646843446971019
cat__zip_code_11419,0.00026406369379516984
cat__zip_code_11418,0.00026194807250902506
cat__zip_code_10472,0.000261642320499745
cat__on_street_name_MERRICK BOULEVARD               ,0.00025979472834330444
cat__zip_code_10012,0.0002576770505071911
cat__on_street_name_EAST TREMONT AVENUE             ,0.00025269141268003986
cat__on_street_name_BRONX RIVER PARKWAY,0.0002498568038768104
cat__off_street_name_LINDEN BOULEVARD,0.00024966862709618844
cat__zip_code_11423,0.00024907679088791124
cat__on_street_name_RALPH AVENUE                    ,0.0002477255242678973
cat__on_street_name_MYRTLE AVENUE                   ,0.00024680402254502297
cat__contributing_factor_vehicle_1_Failure to Keep Right,0.00024663960592208225
cat__on_street_name_CROSS BAY BOULEVARD,0.0002457738157441948
cat__off_street_name_7 AVENUE                        ,0.0002446040006894557
cat__zip_code_11231,0.00024399652348782173
cat__on_street_name_ATLANTIC AVENUE,0.00024370957085866185
cat__on_street_name_PENNSYLVANIA AVENUE             ,0.00024332418742260196
cat__on_street_name_VERRAZANO BRIDGE UPPER,0.00024195148206015732
cat__on_street_name_HILLSIDE AVENUE                 ,0.00024182007913514493
cat__zip_code_10023,0.00024178526498972716
cat__zip_code_10312,0.00023907346933977645
cat__off_street_name_LENOX AVE,0.00023849226575080215
cat__on_street_name_SUTTER AVENUE                   ,0.00023710098560816403
cat__zip_code_11367,0.00023660847026697661
cat__zip_code_10473,0.00023241748890177722
cat__on_street_name_TRIBOROUGH BRIDGE,0.00023151779519784546
cat__on_street_name_WEST FORDHAM ROAD               ,0.00022974607988305584
cat__on_street_name_OCEAN AVENUE                    ,0.00022940825867717938
cat__on_street_name_EAST GUN HILL ROAD              ,0.00022818405444175314
cat__contributing_factor_vehicle_2_Reaction to Uninvolved Vehicle,0.00022653847581550901
cat__zip_code_11224,0.0002238075193906709
cat__on_street_name_HARLEM RIVER DRIVE              ,0.00022340239855635633
cat__off_street_name_2 AVENUE                        ,0.0002229665530349315
cat__zip_code_10465,0.00022195310444058383
cat__zip_code_10030,0.00021896350291031156
cat__zip_code_11379,0.00021867217756560891
cat__zip_code_11361,0.0002173100888394043
cat__on_street_name_VERRAZANO BRIDGE UPPER          ,0.0002160355499997154
